Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
991-11-2,453.617315730204,0,36,4.0,13.0,33,324,360,17038,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-11-2.jpg
454-69-1,202.84062043356607,0,17,2.0,7.0,23,216,213,3226,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-69-1.jpg
454-70-3,426.6761902332497,0,71,2.0,8.0,36,476,421,9138,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-70-3.jpg
454-75-1,259.95331880577424,1,17,2.0,5.0,34,218,254,4870,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-75-1.jpg
454-82,158.63961030678936,0,15,2.0,4.5,9,229,240,1336,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-82.jpg
454-82-3,295.2203461105334,1,12,2.0,6.5,12,251,244,4603,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-82-3.jpg
454-74-4,235.1787155501906,2,41,7.0,10.0,21,361,201,10565,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-74-4.jpg
454-87-4,208.2964645562817,1,20,1.0,5.0,17,217,213,2696,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-87-4.jpg
446-4,558.894444302729,1,35,2.0,6.5,23,443,542,11342,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-4.jpg
446-4-2,564.7472580451152,0,10,2.0,6.0,11,275,512,10744,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-4-2.jpg
454-73,73.11269837220806,0,27,2.0,5.5,17,460,86,1112,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-73.jpg
454-79-2,597.291413922399,2,33,4.0,9.5,24,208,567,26745,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-79-2.jpg
454-70,454.2152954766509,1,40,3.0,11.5,33,477,438,15528,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-70.jpg
